;;;Gene;;;Inter-;Cumulative;;Number;Sum Intron;Protein;;Closest Organism (excl. Ophios&Sporothrix);Closest Organism (excl. O.novo-ulmi only);KEGG;;Blast2GO;;;;;MEROPS;;Alter.;;
OphioH327gp0700;I;+;2.705.532;2.706.956;1.425;5.401;2.705.532;2.706.956;0;0;474;Nuclear divisionprotein rft1;Grosmannia clavigera;Ophiostoma piceae;;;nuclear divisionprotein rft1;0;-;;;;N;;;
OphioH327gp0701;I;-;2.707.283;2.708.824;1.542;326;2.707.283;2.708.824;1;51;496;Putative uncharacterized protein;Grosmannia clavigera;Sporothrix schenckii;;;hypothetical protein CMQ_8014;0;-;;;;N;;;
OphioH327gp0702;I;+;2.709.515;2.710.382;868;690;2.709.515;2.710.382;1;52;271;U3 snoRNA associated protein;Grosmannia clavigera;Ophiostoma piceae;;;u3 snorna associated protein;0;-;;;;N;;;
OphioH327gp0703;I;-;2.710.995;2.712.254;1.260;612;2.710.995;2.712.254;1;69;396;Putative uncharacterized protein;Colletotrichum gloeosporioides;Ophiostoma piceae;;;c6 zinc finger domain containing protein;3;"C:cullin-RING ubiquitin ligase complex; F:ubiquitin protein ligase binding; P:ubiquitin-dependent protein catabolic process";;;;Y;;;
OphioH327gp0704;I;-;2.716.868;2.720.398;3.531;4.613;2.716.868;2.720.398;7;384;1.048;Beta-galactosidase C (Lactase C);Grosmannia clavigera;Ophiostoma piceae;K12309;"GLB1, ELNR1; beta-galactosidase [EC:3.2.1.23]";glycosyl hydrolase family 35;2;"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process";EC:3.2.1.0;GH35 ;;Y;;;
OphioH327gp0705;I;+;2.725.567;2.727.300;1.734;5.168;2.725.567;2.727.300;0;0;577;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_5617;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0706;I;+;2.728.447;2.730.371;1.925;1.146;2.728.447;2.730.371;6;743;393;UV excision repair protein;Grosmannia clavigera;Ophiostoma piceae;K10839;"RAD23, HR23; UV excision repair protein RAD23";uv excision repair protein;4;"P:proteasomal ubiquitin-dependent protein catabolic process; F:damaged DNA binding; P:nucleotide-excision repair; C:nucleus";-;;;N;;;
OphioH327gp0707;I;-;2.731.321;2.733.396;2.076;949;2.731.321;2.733.396;0;0;691;Transcription factor TFIIIB component B'' (Transcription factor TFIIIB complex subunit bdp1);Grosmannia clavigera;Ophiostoma piceae;K15198;"BDP1, TFC5; transcription factor TFIIIB component B''";transcription factor tfiiib component;4;"F:chromatin binding; F:DNA binding; P:biological_process; C:nucleus";;;;N;;;
OphioH327gp0708;I;+;2.734.849;2.737.435;2.587;1.452;2.734.849;2.737.435;3;403;727;E3 ubiquitin-protein ligase bre-1;Grosmannia clavigera;Ophiostoma piceae;K10696;"BRE1; E3 ubiquitin-protein ligase BRE1 [EC:6.3.2.19]";e3 ubiquitin-protein ligase bre-1;3;"P:primary metabolic process; F:zinc ion binding; P:cellular macromolecule metabolic process";-;;;N;;;
OphioH327gp0709;I;-;2.738.157;2.739.188;1.032;721;2.738.157;2.739.188;1;111;306;Store-operated calcium entry-associated regulatory factor (SARAF);Beauveria bassiana;Ophiostoma piceae;;;duf1183 domain protein;0;-;;;;Y;;;
OphioH327gp0710;I;+;2.742.415;2.746.592;4.178;3.226;2.742.415;2.746.592;1;83;1.364;Leptomycin B resistance protein pmd1;Grosmannia clavigera;Ophiostoma piceae;K05658;"ABCB1; ATP-binding cassette, subfamily B (MDR/TAP), member 1";leptomycin b resistance protein pmd1;6;"P:transmembrane transport; C:integral to membrane; F:ATPase activity, coupled to transmembrane movement of substances; P:ATP catabolic process; F:ATP binding; C:plasma membrane";-;;;N;;;
OphioH327gp0711;I;-;2.747.349;2.748.292;1.325;756;2.747.349;2.748.673;3;257;355;DNA binding-motif protein;Metarhizium acridum;Ophiostoma piceae;;;hypothetical protein F503_05420;1;F:DNA binding;;;;N;;;
OphioH327gp0712;I;+;2.755.517;2.758.673;3.157;7.224;2.755.517;2.758.673;2;142;1.004;Histone-lysine N-methyltransferase, H3 lysine-36 specific;Togninia minima;Ophiostoma piceae;K11423;"SETD2, SET2; histone-lysine N-methyltransferase SETD2 [EC:2.1.1.43]";methyltransferase-like protein;3;"P:methylation; P:transcription, DNA-dependent; F:methyltransferase activity";EC:2.1.1.0;;;N;;;
OphioH327gp0713;I;-;2.759.490;2.760.923;1.434;816;2.759.490;2.760.923;0;0;477;4-aminobutyrate aminotransferase;Togninia minima;Ophiostoma piceae;K13524;"ABAT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]";4-aminobutyrate aminotransferase;3;"P:gamma-aminobutyric acid catabolic process; F:pyridoxal phosphate binding; F:4-aminobutyrate transaminase activity";EC:2.6.1.19;;;N;;;
OphioH327gp0714;I;-;2.763.046;2.764.005;960;2.122;2.763.046;2.764.005;0;0;319;Centromere-binding protein;Grosmannia clavigera;Ophiostoma piceae;K09104;"K09104; bHLH factor, other";helix-loop-helix dna binding protein;1;F:protein dimerization activity;;;;N;;;
OphioH327gp0715;I;+;2.766.818;2.768.352;1.535;2.812;2.766.818;2.768.352;1;95;479;Negative regulation of gluconeogenesis protein;Grosmannia clavigera;Ophiostoma piceae;;;negative regulation of gluconeogenesis protein;2;"C:cytoplasm; C:nucleus";;;;N;;;
OphioH327gp0716;I;-;2.769.034;2.771.070;1.782;681;2.769.289;2.771.070;2;150;543;CCR4-NOT transcription complex subunit 8 (CAF1-like protein);Togninia minima;Ophiostoma piceae;K12581;"CNOT7_8, CAF1, POP2; CCR4-NOT transcription complex subunit 7/8";caf1 family ribonuclease;2;"F:nucleic acid binding; C:nucleus";;;;N;;;
OphioH327gp0717;I;+;2.772.240;2.772.733;494;1.169;2.772.240;2.772.733;2;209;94;NADH-ubiquinone oxidoreductase b12;Grosmannia clavigera;Ophiostoma piceae;;;nadh-ubiquinone oxidoreductase b12;2;"C:mitochondrion; F:NADH dehydrogenase (ubiquinone) activity";EC:1.6.5.3;;;N;;;
OphioH327gp0718;I;-;2.773.334;2.775.667;2.334;600;2.773.334;2.775.667;0;0;777;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_5619;0;-;;;;N;;;
OphioH327gp0719;I;-;2.777.917;2.778.731;815;2.249;2.777.917;2.778.731;1;74;246;Eukaryotic translation initiation factor 6 (eIF-6);Togninia minima;Ophiostoma piceae;K03264;"EIF6; translation initiation factor 6";eukaryotic translation initiation factor 6;10;"F:translation initiation factor activity; P:translational initiation; P:ribosomal subunit export from nucleus; C:nucleolus; P:mycelium development; P:ribosomal large subunit biogenesis; F:ribosomal large subunit binding; F:ribosome binding; P:mature ribosome assembly; C:cytoplasm";-;;;N;;;
OphioH327gp0720;I;-;2.785.819;2.787.356;1.538;7.087;2.785.819;2.787.356;1;110;475;Putative uncharacterized protein;Magnaporthe oryzae;Ophiostoma piceae;;;eukaryotic translation initiation factor 6;9;"P:mature ribosome assembly; P:ribosome biogenesis; C:nucleus; P:translational initiation; C:cytoplasm; P:translation; F:ribosome binding; C:nucleolus; F:translation initiation factor activity";;;;N;;;
OphioH327gp0721;I;+;2.789.794;2.791.175;1.382;2.437;2.789.794;2.791.175;1;86;431;DNA damage tolerance protein RHC31 (RAD31 homolog);Grosmannia clavigera;Ophiostoma piceae;K10684;"UBLE1A, SAE1; ubiquitin-like 1-activating enzyme E1 A [EC:6.3.2.19]";sumo activating enzyme;5;"P:metabolic process; F:nucleotide binding; F:catalytic activity; F:small protein activating enzyme activity; P:cellular protein modification process";;;;N;;;
OphioH327gp0722;I;-;2.791.466;2.794.992;3.527;290;2.791.466;2.794.992;2;284;1.080;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_5787;0;-;;;;N;;;
OphioH327gp0723;I;+;2.797.225;2.798.286;1.062;2.232;2.797.225;2.798.286;0;0;353;Putative uncharacterized protein;Eutypa lata;Ophiostoma piceae;;;hypothetical protein MGG_11170;2;"F:molecular_function; P:biological_process";;;;N;;;
OphioH327gp0724;I;-;2.799.400;2.801.657;2.258;1.113;2.799.400;2.801.657;4;272;661;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;ydr124wp-like protein;0;-;;;;N;;;
OphioH327gp0725;I;+;2.807.766;2.808.533;768;6.108;2.807.766;2.808.533;1;636;43;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;
OphioH327gp0726;I;-;2.817.029;2.822.331;5.303;8.495;2.817.029;2.822.331;2;638;1.554;Metal resistance protein YCF1 (Yeast cadmium factor 1);Grosmannia clavigera;Ophiostoma piceae;;;multidrug resistance-associated protein 1;5;"P:transmembrane transport; C:integral to membrane; F:ATPase activity, coupled to transmembrane movement of substances; P:ATP catabolic process; F:ATP binding";-;;;N;;;
OphioH327gp0727;I;+;2.824.236;2.824.734;499;1.904;2.824.236;2.824.734;1;58;146;Putative uncharacterized protein;Gaeumannomyces graminis;Ophiostoma piceae;;;upf0047 domain containing protein;3;"C:cytosol; P:meiotic chromosome segregation; C:nucleus";-;;;N;;;
OphioH327gp0728;I;-;2.825.106;2.825.966;861;371;2.825.106;2.825.966;1;57;267;Cleavage and polyadenylation specificity factor subunit 5;Grosmannia clavigera;Ophiostoma piceae;K14397;"NUDT21, CPSF5, CFIM25; cleavage and polyadenylation specificity factor subunit 5";cleavage and polyadenylation specificity factor subunit 5;3;"P:mRNA polyadenylation; F:mRNA binding; C:mRNA cleavage factor complex";-;;;N;;;
OphioH327gp0729;I;+;2.827.380;2.831.109;3.730;1.413;2.827.380;2.831.109;3;187;1.180;Nuclear GTPase SLIP-GC (Speckled-like pattern in the germinal center);Grosmannia clavigera;Ophiostoma piceae;;;tat pathway signal sequence;6;"F:GTP binding; F:GTPase activity; P:GTP catabolic process; C:integral to membrane; F:ATPase activity, coupled to transmembrane movement of substances; P:transmembrane transport";;;;N;;;
OphioH327gp0730;I;+;2.832.921;2.835.410;2.490;1.811;2.832.921;2.835.410;0;0;829;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_5792;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0731;I;+;2.836.909;2.838.030;1.122;1.498;2.836.909;2.838.030;1;69;350;Negative regulator of the pho system protein;Grosmannia clavigera;Ophiostoma piceae;K06655;"PHO85; negative regulator of the PHO system [EC:2.7.11.22]";cmgc cdk cdk5 protein kinase;5;"F:peptidase activity; P:protein phosphorylation; F:ATP binding; P:proteolysis; F:protein serine/threonine kinase activity";EC:2.7.11.0;;;N;;;
OphioH327gp0732;I;-;2.839.089;2.839.717;629;1.058;2.839.089;2.839.717;5;386;80;U6 snRNA-associated Sm-like protein LSm5;Coccidioides immitis;Ophiostoma piceae;K12624;"LSM5; U6 snRNA-associated Sm-like protein LSm5";small nuclear ribonucleoprotein;2;"F:nucleic acid binding; C:ribonucleoprotein complex";-;;;N;;;
OphioH327gp0733;I;+;2.841.162;2.843.756;2.595;1.444;2.841.162;2.843.756;1;72;840;3-5 exonuclease helicase;Grosmannia clavigera;Ophiostoma piceae;;;3 -5 exonuclease;6;"P:nucleobase-containing compound metabolic process; F:helicase activity; F:nucleic acid binding; F:exonuclease activity; F:3'-5' exonuclease activity; C:intracellular";;;;N;;;
OphioH327gp0734;I;-;2.844.189;2.845.673;1.485;432;2.844.189;2.845.673;0;0;494;Ribosome biogenesis protein YTM1;Grosmannia clavigera;Ophiostoma piceae;K14863;"YTM1, WDR12; ribosome biogenesis protein YTM1";ribosome biogenesis protein ytm1;3;"C:nucleolus; P:ribosome biogenesis; C:preribosome";-;;;N;;;
OphioH327gp0735;I;+;2.846.229;2.848.078;1.850;555;2.846.229;2.848.078;2;143;568;DNA polymerase delta subunit;Grosmannia clavigera;Ophiostoma piceae;K02328;"POLD2; DNA polymerase delta subunit 2";dna polymerase delta small subunit;3;"P:DNA replication; F:DNA-directed DNA polymerase activity; F:DNA binding";;;;N;;;
OphioH327gp0736;I;-;2.848.880;2.850.104;1.225;801;2.848.880;2.850.104;1;154;356;Lipase (Triacylglycerol lipase);Togninia minima;Ophiostoma piceae;K01066;"E3.1.1.-; esterase / lipase [EC:3.1.1.-]";extracellular lipase;1;F:hydrolase activity;-;;;Y;;;
OphioH327gp0737;I;+;2.859.033;2.861.733;2.701;8.928;2.859.033;2.861.733;1;61;879;Beta-glucosidase F (Cellobiase F/Gentiobiase F);Pestalotiopsis fici;Ophiostoma piceae;;;beta-glucosidase 1;2;"F:hydrolase activity, acting on glycosyl bonds; P:metabolic process";-;GH3 ;;Y;;;
OphioH327gp0738;I;-;2.862.145;2.862.613;469;411;2.862.145;2.862.613;1;52;138;50S ribosomal protein L34;Neurospora crassa;Ophiostoma piceae;;;ribosomal protein l34;2;"P:protein metabolic process; C:ribonucleoprotein complex";-;;;N;;;
OphioH327gp0739;I;-;2.863.154;2.864.644;1.491;540;2.863.154;2.864.644;1;117;457;CAAX prenyl protease 1 (A-factor-converting enzyme);Grosmannia clavigera;Ophiostoma piceae;K06013;"STE24; STE24 endopeptidase [EC:3.4.24.84]";caax prenyl protease 1;6;"C:ribosome; F:metalloendopeptidase activity; F:structural constituent of ribosome; P:proteolysis; C:membrane; P:translation";EC:3.4.24.0;;M48A;N;;;
OphioH327gp0740;I;+;2.865.594;2.868.193;2.600;949;2.865.594;2.868.193;1;77;840;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;iq calmodulin-binding domain-containing protein;0;-;;;;N;;;
OphioH327gp0741;I;+;2.869.379;2.875.390;6.012;1.185;2.869.379;2.875.390;0;0;2.003;Transcription initiation factor TFIID subunit 2 (TBP-associated factor 2);Grosmannia clavigera;Ophiostoma piceae;K03128;"TAF2; transcription initiation factor TFIID subunit 2";tata-binding protein associated factor taf2;1;F:binding;-;;M01;N;;;
OphioH327gp0742;I;-;2.876.105;2.877.484;1.380;714;2.876.105;2.877.484;0;0;459;Putative uncharacterized protein; ;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp0743;I;+;2.878.104;2.878.766;663;619;2.878.104;2.878.766;1;54;202;RNA-binding protein 8A (RNA-binding motif protein 8A) (Ribonucleoprotein RBM8A);Grosmannia clavigera;Ophiostoma piceae;K12876;"RBM8A, Y14; RNA-binding protein 8A";rna-binding protein 8a;5;"C:cytoplasm; F:RNA binding; C:nucleus; F:nucleotide binding; P:RNA processing";-;;;N;;;
OphioH327gp0744;I;+;2.879.562;2.881.060;1.499;795;2.879.562;2.881.060;1;59;479;rRNA-processing protein efg1;Grosmannia clavigera;Ophiostoma piceae;;;rrna-processing protein efg1;1;P:biological_process;;;;N;;;
OphioH327gp0745;I;-;2.881.214;2.883.088;1.875;153;2.881.214;2.883.088;0;0;624;Putative uncharacterized protein;Togninia minima;Ophiostoma piceae;;;hypothetical protein MAA_05853;0;-;;;;N;;;
OphioH327gp0746;I;-;2.883.775;2.887.134;3.360;686;2.883.775;2.887.134;0;0;1.119;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_7049;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0747;I;-;2.892.026;2.892.817;792;4.891;2.892.026;2.892.817;0;0;263;6-phosphogluconolactonase;Grosmannia clavigera;Ophiostoma piceae;K01057;"PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]";6-phosphogluconolactonase;3;"P:mycelium development; P:pentose-phosphate shunt; F:6-phosphogluconolactonase activity";EC:3.1.1.31;;;N;;;
OphioH327gp0748;I;+;2.895.415;2.896.580;1.166;2.597;2.895.415;2.896.580;3;194;323;4-nitrophenylphosphatase;Grosmannia clavigera;Ophiostoma piceae;K01101;"E3.1.3.41; 4-nitrophenyl phosphatase [EC:3.1.3.41]";4-nitrophenylphosphatase-like protein;3;"F:phosphatase activity; P:dephosphorylation; P:metabolic process";EC:3.1.3.0;;;N;;;
OphioH327gp0750;I;+;2.897.209;2.898.870;1.662;628;2.897.209;2.898.870;0;0;553;Mynd domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;mynd domain containing protein;1;F:zinc ion binding;;;;N;;;
OphioH327gp0751;I;-;2.899.191;2.901.223;2.033;320;2.899.191;2.901.223;2;158;624;pH-response transcription factor pacC/RIM101;Togninia minima;Sporothrix schenckii;;;ph-response transcription factor pacc rim101;1;F:binding;-;;;N;;;
OphioH327gp0752;I;-;2.905.227;2.906.693;1.467;4.003;2.905.227;2.906.693;0;0;488;Protein STB3;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_7702;0;-;;;;N;;;
OphioH327gp0753;I;-;2.912.037;2.914.238;2.202;5.343;2.912.037;2.914.238;3;177;674;DNA topoisomerase 3;Grosmannia clavigera;Ophiostoma piceae;K03165;"TOP3; DNA topoisomerase III [EC:5.99.1.2]";dna topoisomerase iii;3;"F:DNA topoisomerase type I activity; C:chromosome; P:DNA topological change";EC:5.99.1.2;;;N;;;
OphioH327gp0754;I;+;2.914.944;2.916.236;1.293;705;2.914.944;2.916.236;2;186;368;Putative uncharacterized protein;Podospora anserina;Ophiostoma piceae;;;duf1295-domain-containing protein;0;-;;;;N;;;
OphioH327gp0755;I;+;2.917.752;2.918.219;468;1.515;2.917.752;2.918.219;0;0;155;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;---NA---;0;-;;;;N;;;
OphioH327gp0756;I;-;2.918.631;2.919.407;777;411;2.918.631;2.919.407;2;228;182;Uncharacterized mitochondrial outer membrane protein;Gaeumannomyces graminis;Ophiostoma piceae;;;hypothetical protein GGTG_01812;0;-;;;;N;;;
OphioH327gp0757;I;+;2.919.939;2.922.369;2.431;531;2.919.939;2.922.369;3;187;747;ATP-dependent DNA helicase II subunit 2 (Ku80);Grosmannia clavigera;Ophiostoma piceae;K10885;"XRCC5, KU80, G22P2; ATP-dependent DNA helicase 2 subunit 2";ku70 ku80 n-terminal alpha beta domain-containing protein;3;"P:double-strand break repair via nonhomologous end joining; F:DNA binding; F:ATP-dependent DNA helicase activity";-;;;N;;;
OphioH327gp0758;I;+;2.923.165;2.925.603;2.439;795;2.923.165;2.925.603;0;0;812;Putative uncharacterized protein;Togninia minima;Ophiostoma piceae;;;qde-2-interacting protein;1;F:nucleic acid binding;;;;N;;;
OphioH327gp0759;I;-;2.925.951;2.926.375;425;347;2.925.951;2.926.375;1;107;105;Mitochondrial import inner membrane translocase subunit TIM14 (Presequence translocated-associated motor subunit PAM18);Eutypa lata;Ophiostoma piceae;K09539;"DNAJC19; DnaJ homolog subfamily C member 19";mitochondrial chaperone;1;F:heat shock protein binding;-;;;N;;;
OphioH327gp0760;I;+;2.926.974;2.927.920;1.022;598;2.926.899;2.927.920;3;326;231;Ribosome biogenesis protein RLP24;Grosmannia clavigera;Ophiostoma piceae;K02896;"RP-L24e, RPL24; large subunit ribosomal protein L24e";ribosome biogenesis protein rlp24;2;"P:ribosome biogenesis; C:ribosome";;;;N;;;
OphioH327gp0761;I;-;2.928.521;2.929.158;638;600;2.928.521;2.929.158;1;98;179;Putative uncharacterized protein;Togninia minima;Ophiostoma piceae;;;hypothetical protein CMQ_7742;0;-;;;;N;;;
OphioH327gp0762;I;+;2.936.146;2.937.894;1.749;6.987;2.936.146;2.937.894;1;159;529;Putative uncharacterized protein;Thielavia terrestris;Ophiostoma piceae;;;hypothetical protein THITE_2119741;3;"F:nucleic acid binding; F:zinc ion binding; C:intracellular";;;;N;;;
OphioH327gp0763;I;+;2.940.371;2.941.799;1.429;2.476;2.940.371;2.941.799;2;124;434;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_7055;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0764;I;+;2.946.204;2.946.881;678;4.404;2.946.204;2.946.881;0;0;225;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_7629;0;-;;;;N;;;
OphioH327gp0765;I;+;2.947.879;2.952.557;2.969;997;2.947.879;2.950.847;1;86;960;Inhibitor of growth protein 1;Gaeumannomyces graminis;Ophiostoma piceae;K11346;"ING4; inhibitor of growth protein 4";phd-finger domain-containing protein;4;"F:metal ion binding; F:zinc ion binding; F:molecular_function; C:cellular_component";;;;N;;;
OphioH327gp0766;I;+;2.954.223;2.958.237;4.131;1.665;2.954.107;2.958.237;2;195;1.311;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_7720;0;-;;;;N;;;
OphioH327gp0767;I;-;2.958.881;2.959.250;414;643;2.958.881;2.959.294;2;141;90;Dolichol phosphate-mannose biosynthesis regulatory protein;Grosmannia clavigera;Grosmannia clavigera;K09658;"DPM2; dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit";dolichol phosphate-mannose biosynthesis regulatory protein;2;"C:integral to endoplasmic reticulum membrane; P:macromolecule biosynthetic process";;;;N;;;
OphioH327gp0768;I;+;2.960.026;2.962.821;2.796;775;2.960.026;2.962.821;0;0;931;Pre-mRNA-splicing factor cwc22;Grosmannia clavigera;Ophiostoma piceae;K13100;"CWC22; pre-mRNA-splicing factor CWC22";pre-mrna-splicing factor cwc22;3;"P:RNA metabolic process; F:RNA binding; F:DNA binding";-;;;N;;;
OphioH327gp0769;I;-;2.963.166;2.964.902;1.737;344;2.963.166;2.964.902;0;0;578;tRNA-dihydrouridine (16/17) synthase;Grosmannia clavigera;Ophiostoma piceae;K05542;"DUS1; tRNA-dihydrouridine synthase 1 [EC:1.3.1.88]";dihydrouridine synthase family;2;"; F:catalytic activity";-;;;N;;;
OphioH327gp0770;I;-;2.966.979;2.969.708;2.730;2.076;2.966.979;2.969.708;2;147;860;Protein BNI4;Gaeumannomyces graminis;Sporothrix schenckii;;;hypothetical protein GGTG_01828;0;-;;;;N;;;
OphioH327gp0771;I;+;2.977.269;2.978.912;1.644;7.560;2.977.269;2.978.912;0;0;547;Putative uncharacterized protein;Gaeumannomyces graminis;Sporothrix schenckii;;;c6 zinc finger domain protein;6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";;;;N;;;
OphioH327gp0772;I;-;2.979.160;2.980.365;1.206;247;2.979.160;2.980.365;1;699;168;Putative uncharacterized protein;Nectria haematococca;Sporothrix schenckii;;;glycoside hydrolase family 16 protein;4;"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process; P:xylan catabolic process; F:hydrolase activity";;GH16 ;;N;;;
OphioH327gp0773;I;+;2.980.643;2.981.638;996;277;2.980.643;2.981.638;1;546;149;Putative uncharacterized protein;Trichoderma atroviride;Ophiostoma piceae;;;hypothetical protein TRIATDRAFT_292407;0;-;;;;N;;;
OphioH327gp0774;I;+;2.981.704;2.982.579;876;65;2.981.704;2.982.579;0;0;291;WW domain-containing protein;Eutypa lata;Ophiostoma piceae;;;ww domain-containing protein;0;-;;;;N;;;
OphioH327gp0775;I;-;2.982.873;2.985.179;2.307;293;2.982.873;2.985.179;0;0;768;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;K14828;"RIX1, IPI2; pre-rRNA-processing protein RIX1";hypothetical protein CMQ_7341;2;"F:molecular_function; P:biological_process";;;;N;;;
OphioH327gp0776;I;+;2.986.216;2.990.255;4.040;1.036;2.986.216;2.990.255;2;119;1.306;Filamentation protein;Grosmannia clavigera;Ophiostoma piceae;;;filamentation protein;3;"P:metabolic process; F:transferase activity, transferring acyl groups; C:cellular_component";;;;N;;;
OphioH327gp0777;I;+;2.991.122;2.992.510;1.389;866;2.991.122;2.992.510;1;81;435;Pyruvate dehydrogenase;Myceliophthora thermophila;Ophiostoma piceae;;;filamentation protein;2;"P:metabolic process; F:transferase activity, transferring acyl groups";;;;N;;;
OphioH327gp0778;I;+;2.996.505;3.000.279;3.775;3.994;2.996.505;3.000.279;2;352;1.140;Fungal specific transcription factor domain-containing protein;Colletotrichum fioriniae;Ophiostoma piceae;;;fungal specific transcription factor domain-containing protein;1;P:transcription, DNA-dependent;-;;;N;;;
OphioH327gp0779;I;-;3.000.994;3.006.339;3.429;714;3.000.994;3.004.422;1;282;1.048;LPXTG-motif cell wall anchor domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;lpxtg-motif cell wall anchor domain containing protein;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0781;I;+;3.017.935;3.021.132;3.198;11.595;3.017.935;3.021.132;0;0;1.065;Protein-tyrosine phosphatase;Grosmannia clavigera;Ophiostoma piceae;K11240;"MSG5; tyrosine-protein phosphatase [EC:3.1.3.48]";dual specificity phosphatase;5;"P:protein dephosphorylation; P:response to pheromone involved in conjugation with cellular fusion; F:protein tyrosine/serine/threonine phosphatase activity; P:regulation of signal transduction; C:intracellular part";-;;;N;;;
OphioH327gp0782;I;-;3.021.708;3.023.135;1.428;575;3.021.708;3.023.135;2;138;429;UDP-galactose transporter homolog 1;Grosmannia clavigera;Ophiostoma piceae;K15275;"SLC35B1; solute carrier family 35 (UDP-galactose transporter), member B1";uaa transporter;3;"P:transmembrane transport; P:carbohydrate transport; C:integral to membrane";-;;;N;;;
OphioH327gp0783;I;-;3.024.609;3.025.859;1.251;1.473;3.024.609;3.025.859;2;117;377;RNA-binding protein rnc1 (RNA-binding protein that suppresses calcineurin deletion 1);Grosmannia clavigera;Ophiostoma piceae;;;kh domain-containing protein;1;F:RNA binding;-;;;N;;;
OphioH327gp0784;I;-;3.028.852;3.031.119;2.268;2.992;3.028.852;3.031.119;0;0;755;Serine/threonine-protein kinase ppk6;Grosmannia clavigera;Ophiostoma piceae;;;serine threonine-protein kinase ppk6;4;"F:kinase activity; P:phosphorylation; P:translational initiation; F:translation initiation factor activity";;;;N;;;
OphioH327gp0785;I;+;3.032.167;3.035.148;3.110;1.047;3.032.039;3.035.148;4;326;927;TBC1 domain family member 5;Magnaporthe oryzae;Sporothrix schenckii;K18469;"TBC1D5; TBC1 domain family member 5";wd repeat domain-containing protein;7;"P:regulation of Rab GTPase activity; F:molecular_function; P:positive regulation of Rab GTPase activity; P:biological_process; C:intracellular; C:cellular_component; F:Rab GTPase activator activity";;;;N;;;
OphioH327gp0786;I;+;3.035.599;3.037.308;1.710;450;3.035.599;3.037.308;1;63;548;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_7553;0;-;;;;N;;;
OphioH327gp0787;I;-;3.037.990;3.040.209;2.220;681;3.037.990;3.040.209;0;0;739;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_7275;2;"P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0789;I;-;3.052.168;3.054.461;2.294;11.958;3.052.168;3.054.461;2;890;467;Phosphoglycerate mutase family protein;Grosmannia clavigera;Ophiostoma piceae;K15206;"TFC7; transcription factor C subunit 7";phosphoglycerate mutase;0;-;;;;N;;;
OphioH327gp0790;I;-;3.055.454;3.059.920;4.467;992;3.055.454;3.059.920;0;0;1.488;Serine/threonine-protein kinase PSK1;Grosmannia clavigera;Ophiostoma piceae;K08286;"E2.7.11.-; protein-serine/threonine kinase [EC:2.7.11.-]";serine threonine-protein kinase ppk6;2;"F:kinase activity; P:cellular process";-;;;N;;;
