"protein_ID";"gene_ID";"gene_ID_gff3";"protein_ID_gff3";"Protein";"Chr";"Strand";"Start";"End";"Size (nt)";"Final Description"
"1549";1980109;"g1542";"gene_1549";1980109;"g1542";"I";"+";"5.850.433";"5.851.686";"1.254";"Mitochondrial intermembrane space import and assembly protein 40"
"1550";1980110;"g1543";"gene_1550";1980110;"g1543";"I";"-";"5.852.397";"5.854.265";"1.869";"Putative uncharacterized protein"
"1551";1980111;"g1544";"gene_1551";1980111;"g1544";"I";"-";"5.854.799";"5.858.465";"3.667";"Uncharacterized transcriptional regulatory protein C139.03"
"1552";1980112;"g1545";"gene_1552";1980112;"g1545";"I";"-";"5.860.749";"5.862.210";"1.462";"Dihydrolipoyllysine-residue acetyltransferase, mitochondrial"
"1553";1980113;"g1546";"gene_1553";1980113;"g1546";"I";"+";"5.864.357";"5.870.299";"5.943";"Guanyl-nucleotide exchange factor"
"1554";1980114;"g1547";"gene_1554";1980114;"g1547";"I";"-";"5.870.918";"5.872.204";"1.287";"Putative uncharacterized protein"
"1555";1980115;"g1548";"gene_1555";1980115;"g1548";"I";"+";"5.872.755";"5.873.627";"873";"DNA-directed RNA polymerase 3 subunit"
"1556";1980116;"g1549";"gene_1556";1980116;"g1549";"I";"-";"5.874.015";"5.875.541";"1.527";"Nucleoporin nup45 (Nuclear pore protein nup45)"
"1557";1980117;"g1550";"gene_1557";1980117;"g1550";"I";"+";"5.876.155";"5.877.625";"1.471";"Pre-mRNA polyadenylation factor fip-1"
"1558";1980118;"g1551";"gene_1558";1980118;"g1551";"I";"-";"5.877.757";"5.879.363";"1.607";"Putative methyltransferase-like protein"
"1559";1980119;"g1552";"gene_1559";1980119;"g1552";"I";"-";"5.879.728";"5.881.929";"2.202";"Beta-glucosidase L (Cellobiase L/Gentiobiase L)"
"1560";1980120;"g1553";"gene_1560";1980120;"g1553";"I";"-";"5.882.672";"5.883.772";"1.101";"Myo-inositol-monophosphatase"
"1561";1980121;"g1554";"gene_1561";1980121;"g1554";"I";"-";"5.884.068";"5.887.457";"3.390";"NAD-dependent histone deacetylase HST3 (Homologous to SIR2 protein 3)"
"1562";1980122;"g1555";"gene_1562";1980122;"g1555";"I";"+";"5.890.394";"5.891.382";"989";"Putative uncharacterized protein"
"1563";1980123;"g1556";"gene_1563";1980123;"g1556";"I";"-";"5.891.937";"5.893.365";"1.429";"Tripeptidyl-peptidase sed3 (Sedolisin-C)"
"1564";1980124;"g1557";"gene_1564";1980124;"g1557";"I";"-";"5.894.547";"5.895.014";"468";"Putative uncharacterized protein"
"1565";1980125;"g1558";"gene_1565";1980125;"g1558";"I";"+";"5.898.080";"5.900.014";"1.935";"Nrm1"
"1566";1980126;"g1559";"gene_1566";1980126;"g1559";"I";"+";"5.901.863";"5.903.023";"1.161";"Alcohol dehydrogenase 2"
"1567";1980127;"g1560";"gene_1567";1980127;"g1560";"I";"-";"5.903.521";"5.904.918";"1.398";"Aspartic protease PEP3"
"1568";1980128;"g1561";"gene_1568";1980128;"g1561";"I";"+";"5.910.392";"5.912.008";"1.617";"Putative uncharacterized protein"
"1569";1980129;"g1562";"gene_1569";1980129;"g1562";"I";"-";"5.912.493";"5.913.247";"755";"Conserved hypothetical protein"
"1570";1980130;"g1562.1";"gene_1570";1980130;"g1562.1";"I";"-";"5.915.138";"5.915.389";"252";"Putative uncharacterized protein"
"1571";1980131;"g1563";"gene_1571";1980131;"g1563";"I";"+";"5.917.556";"5.919.187";"1.632";"Polysaccharide deacetylase family protein"
"1572";1980132;"g1564";"gene_1572";1980132;"g1564";"I";"-";"5.919.425";"5.921.602";"2.178";"Choline dehydrogenase (CDH)"
"1573";1980133;"g1565";"gene_1573";1980133;"g1565";"I";"-";"5.922.826";"5.924.589";"1.764";"Cfem domain containing protein"
"1574";1980134;"g1566";"gene_1574";1980134;"g1566";"I";"+";"5.925.528";"5.926.926";"1.399";"Aromatic peroxygenase (AaP)"
"1575";1980135;"g1567";"gene_1575";1980135;"g1567";"I";"+";"5.930.070";"5.931.209";"1.140";"Endopolygalacturonase AN8327 (Pectinase AN8327)"
"1576";1980136;"g1568";"gene_1576";1980136;"g1568";"I";"+";"5.932.422";"5.934.327";"1.906";"Pentachlorophenol 4-monooxygenase"
"1577";1980137;"g1569";"gene_1577";1980137;"g1569";"I";"+";"5.934.617";"5.936.153";"1.537";"N-carbamoyl-L-amino acid hydrolase (L-carbamoylase)"
"1578";1980138;"g1570";"gene_1578";1980138;"g1570";"I";"-";"5.936.290";"5.938.590";"2.301";"Fungal specific transcription factor"
"1579";1980139;"g1571";"gene_1579";1980139;"g1571";"I";"-";"5.938.986";"5.939.648";"663";"Putative uncharacterized protein"
"1580";1980140;"g1571.1";"gene_1580";1980140;"g1571.1";"I";"-";"5.940.508";"5.942.941";"2.434";"Putative uncharacterized protein"
"1581";1980141;"g1572";"gene_1581";1980141;"g1572";"I";"-";"5.943.939";"5.945.312";"1.374";"Putative uncharacterized protein"
"1582";1980142;"g1573";"gene_1582";1980142;"g1573";"I";"-";"5.948.685";"5.950.935";"2.251";"Flavin-containing monooxygenase"
"1583";1980143;"g1574";"gene_1583";1980143;"g1574";"I";"+";"5.952.901";"5.953.781";"881";"Putative uncharacterized protein"
"1584";1980144;"g1575";"gene_1584";1980144;"g1575";"I";"+";"5.954.681";"5.955.025";"345";"Putative uncharacterized protein"
"1585";1980145;"g1576";"gene_1585";1980145;"g1576";"I";"+";"5.955.531";"5.956.814";"1.284";"FAM50 family protein"
"1586";1980146;"g1577";"gene_1586";1980146;"g1577";"I";"-";"5.956.944";"5.957.471";"528";"Putative uncharacterized protein"
"1587";1980147;"g1578";"gene_1587";1980147;"g1578";"I";"-";"5.959.100";"5.961.819";"2.720";"Maltose fermentation regulatory protein MAL13"
"1588";1980148;"g1579";"gene_1588";1980148;"g1579";"I";"-";"5.963.978";"5.965.783";"1.806";"Glycosyl transferase group 1"
"1589";1980149;"g1580";"gene_1589";1980149;"g1580";"I";"+";"5.971.619";"5.973.578";"1.960";"UDP-glucose 6-dehydrogenase"
"1590";1980150;"g1581";"gene_1590";1980150;"g1581";"I";"+";"5.974.219";"5.976.207";"1.989";"C2HC5 finger protein"
"1591";1980151;"g1582";"gene_1591";1980151;"g1582";"I";"-";"5.976.351";"5.978.222";"1.872";"Quinidine resistance protein 2"
"1592";1980152;"g1583";"gene_1592";1980152;"g1583";"I";"-";"5.979.681";"5.982.307";"2.627";"Regulatory protein GAL4"
"1593";1980153;"g1584";"gene_1593";1980153;"g1584";"I";"-";"5.986.814";"5.988.153";"1.340";"Putative uncharacterized protein"
"1594";1980154;"g1585";"gene_1594";1980154;"g1585";"I";"+";"5.990.488";"5.992.398";"1.911";"Putative uncharacterized protein"
"1595";1980155;"g1586";"gene_1595";1980155;"g1586";"I";"-";"5.992.542";"5.996.138";"3.597";"L-aminoadipate-semialdehyde dehydrogenase large subunit"
"1596";1980156;"g1587";"gene_1596";1980156;"g1587";"I";"+";"5.997.322";"5.998.540";"1.219";"Malate dehydrogenase, mitochondrial"
"1597";1980157;"g1588";"gene_1597";1980157;"g1588";"I";"-";"5.999.166";"6.003.295";"4.130";"Cation transporting protein"
"1598";1980158;"g1589";"gene_1598";1980158;"g1589";"I";"+";"6.005.758";"6.006.174";"417";"Glutaminase GtaA"
"1599";1980159;"g1590";"gene_1599";1980159;"g1590";"I";"+";"6.008.578";"6.009.672";"1.095";"Putative uncharacterized protein"
"1600";1980160;"g1591";"gene_1600";1980160;"g1591";"I";"+";"6.010.677";"6.014.294";"3.618";"Putative uncharacterized protein"
"1601";1980161;"g1592";"gene_1601";1980161;"g1592";"I";"+";"6.015.643";"6.017.530";"1.888";"Putative uncharacterized protein"
"1602";1980162;"g1593";"gene_1602";1980162;"g1593";"I";"+";"6.018.782";"6.020.032";"1.251";"Peroxin 11c"
"1603";1980163;"g1594";"gene_1603";1980163;"g1594";"I";"-";"6.020.279";"6.023.684";"3.406";"Ribosome assembly protein 1 (EF-2 like GTPase)"
"1604";1980164;"g1595";"gene_1604";1980164;"g1595";"I";"-";"6.025.596";"6.028.903";"3.308";"Universal stress protein family domain containing protein"
"1605";1980165;"g1596";"gene_1605";1980165;"g1596";"I";"-";"6.033.317";"6.034.763";"1.447";"Putative uncharacterized protein"
"1606";1980166;"g1597";"gene_1606";1980166;"g1597";"I";"-";"6.036.524";"6.038.112";"1.589";"Eukaryotic translation initiation factor 3 subunit L (eIF3l)"
"1607";1980167;"g1598";"gene_1607";1980167;"g1598";"I";"+";"6.039.322";"6.041.130";"1.809";"Golgi pH regulator"
"1608";1980168;"g1599";"gene_1608";1980168;"g1599";"I";"+";"6.042.074";"6.043.051";"978";"Putative uncharacterized protein"
"1609";1980169;"g1600";"gene_1609";1980169;"g1600";"I";"+";"6.044.728";"6.047.370";"2.643";"Anaphase spindle elongation protein 1"
"1610";1980170;"g1601";"gene_1610";1980170;"g1601";"I";"+";"6.048.667";"6.050.865";"2.199";"Increased rDNA silencing protein 4"
"1611";1980171;"g1602";"gene_1611";1980171;"g1602";"I";"-";"6.052.346";"6.056.369";"2.550";"Translation initiation factor 4b"
"1612";1980172;"g1603";"gene_1612";1980172;"g1603";"I";"+";"6.056.947";"6.057.790";"844";"Putative uncharacterized protein"
"1613";1980173;"g1604";"gene_1613";1980173;"g1604";"I";"+";"6.059.069";"6.068.503";"9.435";"Putative uncharacterized protein"
"1614";1980174;"g1605";"gene_1614";1980174;"g1605";"I";"-";"6.070.708";"6.072.348";"1.641";"Putative uncharacterized protein"
"1615";1980175;"g1606";"gene_1615";1980175;"g1606";"I";"-";"6.079.134";"6.080.827";"1.694";"Putative uncharacterized protein"
"1616";1980176;"g1607";"gene_1616";1980176;"g1607";"I";"-";"6.083.424";"6.088.988";"5.565";"rRNA biogenesis protein rrp5"
"1617";1980177;"g1608";"gene_1617";1980177;"g1608";"I";"+";"6.089.864";"6.093.064";"3.201";"Putative uncharacterized protein"
"1618";1980178;"g1609";"gene_1618";1980178;"g1609";"I";"-";"6.093.497";"6.095.278";"1.782";"Mitochondrial-processing peptidase subunit alpha"
"1619";1980179;"g1610";"gene_1619";1980179;"g1610";"I";"+";"6.098.442";"6.100.831";"2.390";"E3 ubiquitin-protein ligase DMA1 (Checkpoint forkhead associated with RING domains-containing protein 1)"
"1620";1980180;"g1611";"gene_1620";1980180;"g1611";"I";"-";"6.101.977";"6.104.697";"2.721";"Vacuolar protein sorting"
"1621";1980181;"g1612";"gene_1621";1980181;"g1612";"I";"+";"6.105.074";"6.105.826";"753";"Autophagy protein 16"
"1622";1980182;"g1613";"gene_1622";1980182;"g1613";"I";"-";"6.106.344";"6.108.102";"1.759";"Histone-lysine N-methyltransferase, H3 lysine-79 specific"
"1623";1980183;"g1614";"gene_1623";1980183;"g1614";"I";"-";"6.108.891";"6.110.903";"1.928";"Prephenate dehydrogenase"
"1624";1980184;"g1615";"gene_1624";1980184;"g1615";"I";"+";"6.111.491";"6.112.547";"1.116";"RCC1 domain-containing protein"
"1625";1980185;"g1616";"gene_1625";1980185;"g1616";"I";"-";"6.112.624";"6.114.312";"1.689";"DNA repair protein rad9"
"1626";1980186;"g1617";"gene_1626";1980186;"g1617";"I";"+";"6.115.181";"6.117.029";"1.849";"Putative uncharacterized protein"
"1627";1980187;"g1618";"gene_1627";1980187;"g1618";"I";"-";"6.117.325";"6.120.212";"1.877";"Repressible alkaline phosphatase"
"1628";1980188;"g1619";"gene_1628";1980188;"g1619";"I";"+";"6.120.337";"6.121.055";"719";"Putative uncharacterized protein"
"1629";1980189;"g1620";"gene_1629";1980189;"g1620";"I";"+";"6.122.901";"6.124.111";"1.211";"PXMP2/4 family protein 3"
"1630";1980190;"g1621";"gene_1630";1980190;"g1621";"I";"-";"6.124.597";"6.125.431";"835";"Vacuolar-sorting protein SNF8 (ESCRT-II complex subunit VPS22)"
"1631";1980191;"g1622";"gene_1631";1980191;"g1622";"I";"+";"6.126.277";"6.127.318";"1.327";"40S ribosomal protein S16"
"1632";1980192;"g1623";"gene_1632";1980192;"g1623";"I";"-";"6.127.873";"6.129.636";"1.764";"Aar2 domain containing protein"
"1633";1980193;"g1624";"gene_1633";1980193;"g1624";"I";"-";"6.133.242";"6.134.921";"1.680";"C2H2 transcription factor"
"1634";1980194;"g1625";"gene_1634";1980194;"g1625";"I";"+";"6.137.609";"6.138.775";"1.167";"Putative uncharacterized protein"
"1635";1980195;"g1626";"gene_1635";1980195;"g1626";"I";"-";"6.146.704";"6.149.242";"2.539";"ATP-dependent RNA helicase dbp-2 "
"1636";1980196;"g1627";"gene_1636";1980196;"g1627";"I";"-";"6.149.779";"6.151.962";"2.184";"Putative hydroxymethylpyrimidine/phosphomethylpyrimidine kinase 2"
"1637";1980197;"g1628";"gene_1637";1980197;"g1628";"I";"-";"6.152.435";"6.157.001";"4.567";"Hr1-like Rho-binding repeat protein"
"1638";1980198;"g1629";"gene_1638";1980198;"g1629";"I";"+";"6.159.709";"6.160.738";"1.030";"Uricase"
"1639";1980199;"g1630";"gene_1639";1980199;"g1630";"I";"-";"6.161.378";"6.162.105";"728";"54S ribosomal protein L23, mitochondrial (YmL23)"
"1640";1980200;"g1631";"gene_1640";1980200;"g1631";"I";"+";"6.162.686";"6.163.727";"1.042";"Superoxide dismutase copper chaperone"
"1641";1980201;"g1631.1";"gene_1641";1980201;"g1631.1";"I";"+";"6.167.309";"6.169.085";"1.777";"NADPH oxidase regulator"
"1642";1980202;"g1632";"gene_1642";1980202;"g1632";"I";"-";"6.170.007";"6.171.688";"645";"Putative uncharacterized protein"
"1643";1980203;"g1632.1";"gene_1643";1980203;"g1632.1";"I";"+";"6.171.855";"6.172.499";"645";"Conserved hypothetical protein"
"1644";1980204;"g1633";"gene_1644";1980204;"g1633";"I";"+";"6.172.828";"6.173.825";"998";"60S ribosomal protein L34-B"
"1645";1980205;"g1634";"gene_1645";1980205;"g1634";"I";"+";"6.174.376";"6.175.171";"796";"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex assembly factor 3"
"1646";1980206;"g1635";"gene_1646";1980206;"g1635";"I";"+";"6.176.095";"6.178.070";"1.976";"mRNA-capping enzyme (Polynucleotide 5'-triphosphatase)"
"1647";1980207;"g1638";"gene_1647";1980207;"g1638";"I";"+";"6.200.326";"6.201.346";"1.021";"ATP-dependent Clp protease proteolytic subunit"
"1648";1980208;"g1639";"gene_1648";1980208;"g1639";"I";"+";"6.202.138";"6.203.949";"1.812";"Dihydroxy-acid dehydratase DAD 4.2.1.9"
"1649";1980209;"g1640";"gene_1649";1980209;"g1640";"I";"-";"6.204.400";"6.205.125";"1.048";"Putative lysophosphatidic acid:oleoyl-CoA acyltransferase (LPAAT)"
"1650";1980210;"g1641";"gene_1650";1980210;"g1641";"I";"+";"6.206.235";"6.209.668";"3.434";"Kinesin-like protein klpA"
"1651";1980211;"g1642";"gene_1651";1980211;"g1642";"I";"-";"6.210.446";"6.212.890";"2.445";"Probable sucrose utilization protein SUC1"
"1652";1980212;"g1643";"gene_1652";1980212;"g1643";"I";"-";"6.216.852";"6.217.375";"524";"Eliciting plant response protein"
"1653";1980213;"g1644";"gene_1653";1980213;"g1644";"I";"-";"6.218.326";"6.219.105";"780";"Thioesterase"
"1654";1980214;"g1645";"gene_1654";1980214;"g1645";"I";"+";"6.220.861";"6.222.470";"1.610";"Cytochrome P450 (CYP609D1)"
"1655";1980215;"g1646";"gene_1655";1980215;"g1646";"I";"-";"6.222.637";"6.223.524";"888";"Ubiquitination network signaling protein"
"1656";1980216;"g1647";"gene_1656";1980216;"g1647";"I";"-";"6.224.610";"6.228.266";"3.657";"Ubiquitination network signaling protein"
"1657";1980217;"g1648";"gene_1657";1980217;"g1648";"I";"-";"6.231.200";"6.232.249";"1.050";"Putative uncharacterized protein"
"1658";1980218;"g1649";"gene_1658";1980218;"g1649";"I";"+";"6.232.835";"6.233.281";"447";"LYR motif-containing protein 5B"
"1659";1980219;"g1650";"gene_1659";1980219;"g1650";"I";"-";"6.233.556";"6.235.775";"2.220";"Sam-binding motif containing protein"
"1660";1980220;"g1651";"gene_1660";1980220;"g1651";"I";"+";"6.239.524";"6.241.908";"2.385";"Glucose-repressible alcohol dehydrogenase transcriptional effector"
"1661";1980221;"g1652";"gene_1661";1980221;"g1652";"I";"-";"6.243.371";"6.246.610";"3.240";"Putative uncharacterized protein"
"1662";1980222;"g1653";"gene_1662";1980222;"g1653";"I";"+";"6.248.921";"6.250.763";"1.843";"Lipase, class 3"
"1663";1980223;"g1654";"gene_1663";1980223;"g1654";"I";"-";"6.251.011";"6.251.511";"501";"Putative uncharacterized protein"
"1664";1980224;"g1655";"gene_1664";1980224;"g1655";"I";"+";"6.252.487";"6.253.194";"708";"Superoxide dismutase"
"1665";1980225;"g1656";"gene_1665";1980225;"g1656";"I";"+";"6.258.287";"6.261.500";"3.214";"Putative uncharacterized protein"
"1666";1980226;"g1657";"gene_1666";1980226;"g1657";"I";"+";"6.267.046";"6.268.799";"1.754";"Glycoside hydrolase family 72"
"1667";1980227;"g1658";"gene_1667";1980227;"g1658";"I";"+";"6.269.515";"6.271.302";"1.788";"Putative uncharacterized protein"
"1668";1980228;"g1659";"gene_1668";1980228;"g1659";"I";"-";"6.271.881";"6.273.810";"1.930";"N amino acid transport system protein (Methyltryptophan resistance protein)"
"1669";1980229;"g1660";"gene_1669";1980229;"g1660";"I";"+";"6.277.832";"6.279.211";"1.380";"Putative uncharacterized protein"
"1670";1980230;"g1661";"gene_1670";1980230;"g1661";"I";"+";"6.279.681";"6.281.134";"1.454";"Putative uncharacterized protein"
"1671";1980231;"g1662";"gene_1671";1980231;"g1662";"I";"-";"6.281.268";"6.282.338";"1.071";"Putative uncharacterized protein"
"1672";1980232;"g1663";"gene_1672";1980232;"g1663";"I";"-";"6.283.519";"6.284.313";"795";"Decapping enzyme"
"1673";1980233;"g1664";"gene_1673";1980233;"g1664";"I";"+";"6.285.176";"6.288.874";"3.699";"Phosphatase family protein"
"1674";1980234;"g1665";"gene_1674";1980234;"g1665";"I";"+";"6.290.488";"6.293.169";"2.682";"Putative uncharacterized protein"
"1675";1980235;"g1666";"gene_1675";1980235;"g1666";"I";"+";"6.293.275";"6.294.387";"1.113";"Putative uncharacterized protein"
"1676";1980236;"g1667";"gene_1676";1980236;"g1667";"I";"+";"6.296.054";"6.296.765";"712";"DNA repair protein SWI5 homolog (Protein SAE3 homolog)"
"1677";1980237;"g1668";"gene_1677";1980237;"g1668";"I";"-";"6.297.731";"6.299.098";"1.368";"60S ribosomal protein L16"
"1678";1980238;"g1669";"gene_1678";1980238;"g1669";"I";"-";"6.300.363";"6.303.490";"1.071";"Bag domain containing protein"
"1679";1980239;"g1670";"gene_1679";1980239;"g1670";"I";"+";"6.304.952";"6.305.320";"369";"Glutaredoxin"
"1680";1980240;"g1671";"gene_1680";1980240;"g1671";"I";"-";"6.305.804";"6.307.105";"1.302";"Altered inheritance of mitochondria protein 18, mitochondrial"
"1681";1980241;"g1672";"gene_1681";1980241;"g1672";"I";"-";"6.307.942";"6.308.129";"188";"Putative uncharacterized protein"
"1682";1980242;"g1673";"gene_1682";1980242;"g1673";"I";"+";"6.310.323";"6.313.173";"2.851";"SCF E3 ubiquitin ligase complex F-box protein grrA"
"1683";1980243;"g1674";"gene_1683";1980243;"g1674";"I";"+";"6.314.149";"6.314.583";"435";"40S ribosomal protein S20"
"1684";1980244;"g1675";"gene_1684";1980244;"g1675";"I";"+";"6.315.605";"6.316.789";"1.185";"SH3 domain-containing protein PJ696.02"
"1685";1980245;"g1676";"gene_1685";1980245;"g1676";"I";"-";"6.317.447";"6.319.582";"2.136";"Anthranilate n-hydroxycinnamoyl/benzoyltransferase"
"1686";1980246;"g1677";"gene_1686";1980246;"g1677";"I";"-";"6.330.601";"6.335.217";"4.617";"Putative uncharacterized protein"
"1687";1980247;"g1678";"gene_1687";1980247;"g1678";"I";"+";"6.343.862";"6.346.361";"2.500";"Beta-glucosidase M (Cellobiase M/Gentiobiase M)"
"1688";1980248;"g1679";"gene_1688";1980248;"g1679";"I";"-";"6.347.191";"6.350.100";"2.640";"Poly(A) RNA polymerase protein 2 (DNA polymerase kappa)"
"1689";1980249;"g1680";"gene_1689";1980249;"g1680";"I";"-";"6.350.690";"6.352.108";"1.419";"Putative uncharacterized protein"
"1690";1980250;"g1681";"gene_1690";1980250;"g1681";"I";"-";"6.353.105";"6.354.597";"1.493";"Ammonium transporter mep2"
"1691";1980251;"g1682";"gene_1691";1980251;"g1682";"I";"+";"6.361.710";"6.363.734";"2.025";"Putative uncharacterized protein"
"1692";1980252;"g1683";"gene_1692";1980252;"g1683";"I";"-";"6.364.361";"6.365.291";"931";"Ubiquitin conjugating enzyme E2 6"
"1693";1980253;"g1684";"gene_1693";1980253;"g1684";"I";"+";"6.365.962";"6.367.592";"1.631";"Mitochondrial outer membrane protein"
"1694";1980254;"g1685";"gene_1694";1980254;"g1685";"I";"-";"6.367.703";"6.368.530";"828";"Acetyltransferase"
"1695";1980255;"g1686";"gene_1695";1980255;"g1686";"I";"-";"6.368.948";"6.369.899";"952";"Putative uncharacterized protein"
"1696";1980256;"g1687";"gene_1696";1980256;"g1687";"I";"+";"6.373.037";"6.374.116";"1.080";"2og-Fe oxygenase family protein"
"1697";1980257;"g1688";"gene_1697";1980257;"g1688";"I";"-";"6.374.298";"6.375.601";"1.304";"Carbohydrate-binding module family 18"
"1698";1980258;"g1689";"gene_1698";1980258;"g1689";"I";"-";"6.377.607";"6.379.331";"1.725";"Elongator complex protein 3 (Gamma-toxin target 3)"
"1699";1980259;"g1690";"gene_1699";1980259;"g1690";"I";"+";"6.380.464";"6.381.638";"1.175";"Succinyl-synthetase alpha"
"1700";1980260;"g1691";"gene_1700";1980260;"g1691";"I";"-";"6.382.443";"6.383.983";"1.541";"Uncharacterized FAD-linked oxidoreductase ygaK"
"1701";1980261;"g1692";"gene_1701";1980261;"g1692";"I";"-";"6.384.805";"6.386.340";"1.536";"Probable inorganic polyphosphate/ATP-NAD kinase 3 PolyP/ATP NAD kinase 3"
"1702";1980262;"g1693";"gene_1702";1980262;"g1693";"I";"+";"6.387.800";"6.389.109";"1.310";"Uncharacterized acyltransferase"
"1703";1980263;"g1694";"gene_1703";1980263;"g1694";"I";"+";"6.393.572";"6.395.170";"1.599";"DUF89 domain containing protein"
"1704";1980264;"g1695";"gene_1704";1980264;"g1695";"I";"-";"6.402.416";"6.404.080";"1.665";"Taurine catabolism dioxygenase family protein"
"1705";1980265;"g1696";"gene_1705";1980265;"g1696";"I";"+";"6.410.606";"6.422.915";"4.392";"Tetratricopeptide repeat domain containing protein"
"1706";1980266;"g1697";"gene_1706";1980266;"g1697";"I";"+";"6.423.972";"6.424.673";"702";"Translocation protein sec72"
"1707";1980267;"g1698";"gene_1707";1980267;"g1698";"I";"-";"6.425.307";"6.425.754";"448";"Putative uncharacterized protein"
"1708";1980268;"g1699";"gene_1708";1980268;"g1699";"I";"-";"6.428.706";"6.429.953";"1.248";"Putative uncharacterized protein"
"1709";1980269;"g1700";"gene_1709";1980269;"g1700";"I";"-";"6.431.654";"6.435.443";"3.790";"Putative uncharacterized protein"
"1710";1980270;"g1701";"gene_1710";1980270;"g1701";"I";"-";"6.438.696";"6.439.124";"429";"Putative uncharacterized protein"
"1711";1980271;"g1702";"gene_1711";1980271;"g1702";"I";"+";"6.446.938";"6.447.521";"584";"Putative uncharacterized protein"
"1712";1980272;"g1703";"gene_1712";1980272;"g1703";"I";"-";"6.447.660";"6.448.051";"392";"Putative uncharacterized protein"
"1713";1980273;"g1704";"gene_1713";1980273;"g1704";"I";"+";"6.449.358";"6.449.873";"516";"Putative uncharacterized protein"
"1714";1980274;"g1705";"gene_1714";1980274;"g1705";"I";"-";"6.450.138";"6.451.364";"1.227";"D-isomer specific 2-hydroxyacid dehydrogenase"
"1715";1980275;"g1706";"gene_1715";1980275;"g1706";"I";"-";"6.453.140";"6.453.871";"732";"Ubiquitin conjugating enzyme E2 1"
"1716";1980276;"g1707";"gene_1716";1980276;"g1707";"I";"+";"6.455.240";"6.456.640";"1.401";"26S protease regulatory subunit 4 homolog (Protein mts2)"
"1717";1980277;"g1708";"gene_1717";1980277;"g1708";"I";"-";"6.456.950";"6.457.911";"962";"Bar adaptor protein"
"1718";1980278;"g1709";"gene_1718";1980278;"g1709";"I";"+";"6.458.861";"6.459.712";"852";"Peptidyl-tRNA hydrolase 2"
"1719";1980279;"g1710";"gene_1719";1980279;"g1710";"I";"-";"6.459.941";"6.462.473";"1.725";"3-ketosteroid-delta-1-dehydrogenase"
"1720";1980280;"g1711";"gene_1720";1980280;"g1711";"I";"+";"6.463.978";"6.466.470";"2.493";"Major facilitator superfamily transporter"
"1721";1980281;"g1712";"gene_1721";1980281;"g1712";"I";"+";"6.468.676";"6.470.363";"1.688";"Quinate permease (Quinate transporter)"
"1722";1980282;"g1713";"gene_1722";1980282;"g1713";"I";"+";"6.472.985";"6.475.975";"2.991";"C2H2 type zinc finger domain containing protein"
"1723";1980283;"g1714";"gene_1723";1980283;"g1714";"I";"-";"6.476.394";"6.477.542";"1.149";"Suger dehydrogenase"
"1724";1980284;"g1715";"gene_1724";1980284;"g1715";"I";"-";"6.477.971";"6.478.624";"654";"Cellobiose dehydrogenase (CDH)"
"1725";1980285;"g1716";"gene_1725";1980285;"g1716";"I";"-";"6.479.250";"6.480.260";"1.011";"WW domain-containing oxidoreductase"
"1726";1980286;"g1717";"gene_1726";1980286;"g1717";"I";"+";"6.481.109";"6.481.897";"789";"Glutathione S-transferase"
"1727";1980287;"g1718";"gene_1727";1980287;"g1718";"I";"-";"6.482.279";"6.483.544";"1.266";"Cyclin CCL1"
"1728";1980288;"g1719";"gene_1728";1980288;"g1719";"I";"+";"6.485.194";"6.487.318";"2.125";"Ubiquitin fusion degradation protein"
"1729";1980289;"g1720";"gene_1729";1980289;"g1720";"I";"-";"6.488.043";"6.489.506";"1.464";"Actin-like protein arp-6"
"1730";1980290;"g1721";"gene_1730";1980290;"g1721";"I";"-";"6.489.819";"6.491.285";"1.467";"Actin patch protein 1"
"1731";1980291;"g1722";"gene_1731";1980291;"g1722";"I";"-";"6.492.406";"6.494.429";"2.024";"Adenylosuccinate synthetase"
"1732";1980292;"g1723";"gene_1732";1980292;"g1723";"I";"-";"6.495.171";"6.496.667";"1.497";"DUF895 domain protein membrane protein"
"1733";1980293;"g1723.1";"gene_1733";1980293;"g1723.1";"I";"-";"6.498.161";"6.498.706";"546";"Conserved hypothetical protein"
"1734";1980294;"g1724";"gene_1734";1980294;"g1724";"I";"-";"6.501.732";"6.506.685";"543";"Putative uncharacterized protein"
"1735";1980295;"g1725";"gene_1735";1980295;"g1725";"I";"-";"6.507.464";"6.508.735";"1.272";"Transaldolase"
"1736";1980296;"g1726";"gene_1736";1980296;"g1726";"I";"+";"6.512.671";"6.515.997";"3.327";"mRNA-capping enzyme subunit beta (Polynucleotide 5'-triphosphatase)"
"1737";1980297;"g1727";"gene_1737";1980297;"g1727";"I";"+";"6.519.282";"6.520.269";"988";"Isoflavone reductase homolog IRL"
"1738";1980298;"g1728";"gene_1738";1980298;"g1728";"I";"-";"6.520.414";"6.521.370";"957";"Cupin"
"1739";1980299;"g1729";"gene_1739";1980299;"g1729";"I";"+";"6.522.444";"6.524.366";"1.923";"F-box domain-containing protein "
"1740";1980300;"g1730";"gene_1740";1980300;"g1730";"I";"+";"6.524.666";"6.525.706";"1.041";"F-box domain-containing protein "
"1741";1980301;"g1730.1";"gene_1741";1980301;"g1730.1";"I";"+";"6.527.116";"6.528.807";"1.692";"Alpha/beta hydrolase fold protein"
"1742";1980302;"g1731";"gene_1742";1980302;"g1731";"I";"+";"6.530.787";"6.532.790";"2.004";"Major facilitator superfamily transporter multidrug resistance"
